------ nsdperf ITERATION: 1 Tue May 12 10:07:45 AM EDT 2026 -----
TCP N1 - ITERATION 1 :: Tue May 12 10:07:46 AM EDT 2026 
OPX N32 - ITERATION 1 :: Tue May 12 10:07:46 AM EDT 2026
OPX N0 - ITERATION 1 :: Tue May 12 10:07:46 AM EDT 2026
TCP N1 - ITERATION 2 :: Tue May 12 10:08:28 AM EDT 2026 
TCP N1 - ITERATION 3 :: Tue May 12 10:09:10 AM EDT 2026 
TCP N1 - ITERATION 4 :: Tue May 12 10:09:53 AM EDT 2026 
TCP N1 - ITERATION 5 :: Tue May 12 10:10:35 AM EDT 2026 
TCP N1 - ITERATION 6 :: Tue May 12 10:11:17 AM EDT 2026 
TCP N1 - ITERATION 7 :: Tue May 12 10:12:00 AM EDT 2026 
TCP N1 - ITERATION 8 :: Tue May 12 10:12:42 AM EDT 2026 
TCP N1 - ITERATION 9 :: Tue May 12 10:13:25 AM EDT 2026 
TCP N1 - ITERATION 10 :: Tue May 12 10:14:07 AM EDT 2026 
TCP N1 - ITERATION 11 :: Tue May 12 10:14:50 AM EDT 2026 
TCP N1 - ITERATION 12 :: Tue May 12 10:15:32 AM EDT 2026 
TCP N1 - ITERATION 13 :: Tue May 12 10:16:16 AM EDT 2026 
TCP N1 - ITERATION 14 :: Tue May 12 10:16:59 AM EDT 2026 
TCP N1 - ITERATION 15 :: Tue May 12 10:17:42 AM EDT 2026 
TCP N1 - ITERATION 16 :: Tue May 12 10:18:24 AM EDT 2026 
TCP N1 - ITERATION 17 :: Tue May 12 10:19:06 AM EDT 2026 
TCP N1 - ITERATION 18 :: Tue May 12 10:19:50 AM EDT 2026 
TCP N1 - ITERATION 19 :: Tue May 12 10:20:32 AM EDT 2026 
TCP N1 - ITERATION 20 :: Tue May 12 10:21:15 AM EDT 2026 
TCP N1 - ITERATION 21 :: Tue May 12 10:21:58 AM EDT 2026 
TCP N1 - ITERATION 22 :: Tue May 12 10:22:40 AM EDT 2026 
+++ Kitchen Sink is CLEAN
